date,year,month,value,yoy_inflation
1977-01-01,1977,1,58.5,NA
1977-02-01,1977,2,59.1,NA
1977-03-01,1977,3,59.5,NA
1977-04-01,1977,4,60,NA
1977-05-01,1977,5,60.3,NA
1977-06-01,1977,6,60.7,NA
1977-07-01,1977,7,61,NA
1977-08-01,1977,8,61.2,NA
1977-09-01,1977,9,61.4,NA
1977-10-01,1977,10,61.6,NA
1977-11-01,1977,11,61.9,NA
1977-12-01,1977,12,62.1,NA
1978-01-01,1978,1,62.5,6.8376068376068355
1978-02-01,1978,2,62.9,6.429780033840937
1978-03-01,1978,3,63.4,6.554621848739495
1978-04-01,1978,4,63.9,6.499999999999995
1978-05-01,1978,5,64.5,6.9651741293532465
1978-06-01,1978,6,65.2,7.413509060955525
1978-07-01,1978,7,65.7,7.7049180327869005
1978-08-01,1978,8,66,7.843137254901955
1978-09-01,1978,9,66.5,8.306188925081436
1978-10-01,1978,10,67.1,8.92857142857142
1978-11-01,1978,11,67.4,8.8852988691438
1978-12-01,1978,12,67.7,9.017713365539448
1979-01-01,1979,1,68.3,9.28
1979-02-01,1979,2,69.1,9.856915739268679
1979-03-01,1979,3,69.8,10.094637223974768
1979-04-01,1979,4,70.6,10.485133020344284
1979-05-01,1979,5,71.5,10.852713178294572
1979-06-01,1979,6,72.3,10.889570552147232
1979-07-01,1979,7,73.1,11.263318112633169
1979-08-01,1979,8,73.8,11.818181818181817
1979-09-01,1979,9,74.6,12.180451127819536
1979-10-01,1979,10,75.2,12.071535022354718
1979-11-01,1979,11,75.9,12.611275964391687
1979-12-01,1979,12,76.7,13.293943870014768
1980-01-01,1980,1,77.8,13.90922401171304
1980-02-01,1980,2,78.9,14.1823444283647
1980-03-01,1980,3,80.1,14.756446991404015
1980-04-01,1980,4,81,14.730878186968855
1980-05-01,1980,5,81.8,14.40559440559439
1980-06-01,1980,6,82.7,14.384508990318135
1980-07-01,1980,7,82.7,13.132694938440515
1980-08-01,1980,8,83.3,12.872628726287271
1980-09-01,1980,9,84,12.600536193029498
1980-10-01,1980,10,84.8,12.765957446808507
1980-11-01,1980,11,85.5,12.648221343873512
1980-12-01,1980,12,86.3,12.516297262059961
1981-01-01,1981,1,87,11.825192802056561
1981-02-01,1981,2,87.9,11.406844106463886
1981-03-01,1981,3,88.5,10.486891385767795
1981-04-01,1981,4,89.1,9.999999999999986
1981-05-01,1981,5,89.8,9.7799511002445
1981-06-01,1981,6,90.6,9.552599758162028
1981-07-01,1981,7,91.6,10.761789600967342
1981-08-01,1981,8,92.3,10.80432172869148
1981-09-01,1981,9,93.2,10.952380952380958
1981-10-01,1981,10,93.4,10.14150943396228
1981-11-01,1981,11,93.7,9.590643274853793
1981-12-01,1981,12,94,8.92236384704519
1982-01-01,1982,1,94.3,8.390804597701141
1982-02-01,1982,2,94.6,7.622298065984068
1982-03-01,1982,3,94.5,6.779661016949157
1982-04-01,1982,4,94.9,6.509539842873191
1982-05-01,1982,5,95.8,6.681514476614692
1982-06-01,1982,6,97,7.064017660044164
1982-07-01,1982,7,97.5,6.4410480349345045
1982-08-01,1982,8,97.7,5.850487540628402
1982-09-01,1982,9,97.9,5.04291845493563
1982-10-01,1982,10,98.2,5.139186295503206
1982-11-01,1982,11,98,4.589114194236932
1982-12-01,1982,12,97.6,3.8297872340425476
1983-01-01,1983,1,97.8,3.711558854718988
1983-02-01,1983,2,97.9,3.488372093023262
1983-03-01,1983,3,97.9,3.5978835978836
1983-04-01,1983,4,98.6,3.898840885142252
1983-05-01,1983,5,99.2,3.549060542797511
1983-06-01,1983,6,99.5,2.577319587628857
1983-07-01,1983,7,99.9,2.4615384615384706
1983-08-01,1983,8,100.2,2.5588536335721557
1983-09-01,1983,9,100.7,2.860061287027582
1983-10-01,1983,10,101,2.851323828920571
1983-11-01,1983,11,101.2,3.2653061224489743
1983-12-01,1983,12,101.3,3.7909836065573854
1984-01-01,1984,1,101.9,4.192229038854811
1984-02-01,1984,2,102.4,4.596527068437184
1984-03-01,1984,3,102.6,4.80081716036771
1984-04-01,1984,4,103.1,4.563894523326573
1984-05-01,1984,5,103.4,4.233870967741948
1984-06-01,1984,6,103.7,4.2211055276381915
1984-07-01,1984,7,104.1,4.204204204204198
1984-08-01,1984,8,104.5,4.291417165668654
1984-09-01,1984,9,105,4.270109235352537
1984-10-01,1984,10,105.3,4.257425742574261
1984-11-01,1984,11,105.3,4.051383399209474
1984-12-01,1984,12,105.3,3.948667324777877
1985-01-01,1985,1,105.5,3.5328753680078373
1985-02-01,1985,2,106,3.515625
1985-03-01,1985,3,106.4,3.70370370370372
1985-04-01,1985,4,106.9,3.6857419980601547
1985-05-01,1985,5,107.3,3.771760154738879
1985-06-01,1985,6,107.6,3.760848601735778
1985-07-01,1985,7,107.8,3.5542747358309423
1985-08-01,1985,8,108,3.349282296650724
1985-09-01,1985,9,108.3,3.142857142857136
1985-10-01,1985,10,108.7,3.228869895536568
1985-11-01,1985,11,109,3.5137701804368593
1985-12-01,1985,12,109.3,3.7986704653371284
1986-01-01,1986,1,109.6,3.8862559241706007
1986-02-01,1986,2,109.3,3.113207547169816
1986-03-01,1986,3,108.8,2.2556390977443552
1986-04-01,1986,4,108.6,1.5902712815715425
1986-05-01,1986,5,108.9,1.491146318732528
1986-06-01,1986,6,109.5,1.7657992565055736
1986-07-01,1986,7,109.5,1.5769944341373021
1986-08-01,1986,8,109.7,1.5740740740740833
