Model Output Date,1 year Expected Inflation
1/1/82,0.063945071
2/1/82,0.064321077
3/1/82,0.063877317
4/1/82,0.061406276
5/1/82,0.054881669
6/1/82,0.054452325
7/1/82,0.063748846
8/1/82,0.06367801
9/1/82,0.06339422
10/1/82,0.051327583
11/1/82,0.046539145
12/1/82,0.045710148
1/1/83,0.048633048
2/1/83,0.045956615
3/1/83,0.040629447
4/1/83,0.046289199
5/1/83,0.046186334
6/1/83,0.041399507
7/1/83,0.049603809
8/1/83,0.051924267
9/1/83,0.051037494
10/1/83,0.051155348
11/1/83,0.052028781
12/1/83,0.051980904
1/1/84,0.052475146
2/1/84,0.050622947
3/1/84,0.048302654
4/1/84,0.054205543
5/1/84,0.054580169
6/1/84,0.055883874
7/1/84,0.05692377
8/1/84,0.05224781
9/1/84,0.051047828
10/1/84,0.054138126
11/1/84,0.049376646
12/1/84,0.048509702
1/1/85,0.048807597
2/1/85,0.046573474
3/1/85,0.049883735
4/1/85,0.047725855
5/1/85,0.047029389
6/1/85,0.04716909
7/1/85,0.04407939
8/1/85,0.044287764
9/1/85,0.044613628
10/1/85,0.044118946
11/1/85,0.042730751
12/1/85,0.040037965
1/1/86,0.039759159
2/1/86,0.039713373
3/1/86,0.034802235
4/1/86,0.030175747
5/1/86,0.028514107
6/1/86,0.034637795
7/1/86,0.035734378
8/1/86,0.03388122
9/1/86,0.034035122
10/1/86,0.034713896
11/1/86,0.032203774
12/1/86,0.036377004
1/1/87,0.034766992
2/1/87,0.035699365
3/1/87,0.030945875
4/1/87,0.036402938
5/1/87,0.039085461
6/1/87,0.039808006
7/1/87,0.040066156
8/1/87,0.04126315
9/1/87,0.042771388
10/1/87,0.043834831
11/1/87,0.039721739
12/1/87,0.04083687
1/1/88,0.036629208
2/1/88,0.037866556
3/1/88,0.036808433
4/1/88,0.039816855
5/1/88,0.040994026
6/1/88,0.039480755
7/1/88,0.042701061
8/1/88,0.04362807
9/1/88,0.04414214
10/1/88,0.043720582
11/1/88,0.042504516
12/1/88,0.044612583
1/1/89,0.044802056
2/1/89,0.044007674
3/1/89,0.045305051
4/1/89,0.047028561
5/1/89,0.04852568
6/1/89,0.043841384
7/1/89,0.043266076
8/1/89,0.04127378
9/1/89,0.040212728
10/1/89,0.042239744
11/1/89,0.039988063
12/1/89,0.036603593
